Invoice Ref,Account Name,Inv Amt (INR),Due Dt,Days Late,Last Touch,Collector,Payment Risk,A/R State,Region,City Cluster,Channel Type,Order Mix,Escalation Note,Promised Dt,Source URL
SP-AR-26-1001,Swiggy Settlement Bengaluru,18000,2026-04-04,0,2026-04-03,,Low,Paid,South,Bengaluru,Food Aggregator,Marketplace Delivery,Closed after settlement remittance confirmation,,https://samosaparty.in/
SP-AR-26-1002,Zomato Settlement Delhi,31900,2026-03-26,9,2026-04-01,Arjun,Low,Overdue,North,Delhi,Corporate Catering,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1003,Corporate Catering - Infosys Hyderabad,45800,2026-03-23,12,2026-03-31,Megha,Low,Overdue,South,Hyderabad,Mall/Transit Venue,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1004,Corporate Catering - Wipro Noida,59700,2026-03-20,15,2026-03-30,Karan,Medium,Overdue,North,Noida,Franchise Partner,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1005,Corporate Catering - Microsoft Chennai,73600,2026-03-17,18,2026-03-29,Sana,Low,Overdue,South,Chennai,Direct App Enterprise,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1006,Phoenix Mall Food Court Events Gurugram,64000,2026-03-14,21,2026-03-28,Vikram,High,Overdue,North,Gurugram,Food Aggregator,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1007,Airport Kiosk Bulk Order Desk Bengaluru,80250,2026-03-11,24,2026-03-27,,Medium,Overdue,South,Bengaluru,Corporate Catering,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1008,Direct App Enterprise Orders Ghaziabad,94150,2026-03-10,25,2026-03-29,,Medium,Partial Payment,North,Ghaziabad,Mall/Transit Venue,Breakfast Combos,Short remittance received; balance pending against catering or marketplace cycle,2026-04-07,https://samosaparty.in/contact-us
SP-AR-26-1009,Tech Park Pantry Program Hyderabad,108050,2026-03-05,30,2026-03-25,,Low,Overdue,South,Hyderabad,Franchise Partner,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1010,Festival Bulk Orders Desk Faridabad,39150,2026-03-02,33,2026-04-02,Arjun,Medium,Overdue,North,Faridabad,Direct App Enterprise,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1011,Metro Hub Breakfast Program Chennai,29550,2026-02-27,36,,Megha,High,Overdue,South,Chennai,Food Aggregator,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1012,Retail Franchise Supplies Delhi,43450,2026-03-10,25,2026-03-29,Karan,Medium,Promise to Pay,North,Delhi,Corporate Catering,Chai Flask Bulk Orders,Finance contact committed payout release after outlet-level reconciliation,2026-04-08,https://samosaparty.in/contact-us
SP-AR-26-1013,Swiggy Settlement Bengaluru,59700,2026-02-21,42,2026-03-30,Sana,Medium,Overdue,South,Bengaluru,Mall/Transit Venue,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1014,Zomato Settlement Noida,73600,2026-02-18,45,2026-03-29,Vikram,Low,Overdue,North,Noida,Franchise Partner,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1015,Corporate Catering - Infosys Hyderabad,87500,2026-03-14,21,2026-03-28,,Medium,Partial Payment,South,Hyderabad,Direct App Enterprise,Chai Flask Bulk Orders,Short remittance received; balance pending against catering or marketplace cycle,2026-04-08,https://samosaparty.in/store-locator
SP-AR-26-1016,Corporate Catering - Wipro Gurugram,77900,2026-03-25,10,2026-03-27,,High,Overdue,North,Gurugram,Food Aggregator,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1017,Corporate Catering - Microsoft Chennai,91800,2026-03-22,13,2026-03-26,,Low,Overdue,South,Chennai,Corporate Catering,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
